Omega	Omega_err	MA1	svev	alpha
1.83099	0.015337	535.871	721.655	1.32937
2.86896e-05	1.64874e-07	362.105	306.905	0.298764
0.11207	0.000600741	949.338	303.888	-0.546203
0.093938	0.000496851	890.922	719.673	1.2606
0.000954335	4.35209e-06	198.566	575.807	-0.692024
1.16498e-06	1.9092e-09	432.186	177.735	-0.538599
0.00252713	1.0711e-05	552.869	172.219	-0.0981905
0.00155223	5.36181e-06	388.953	823.348	-1.01358
0.00121837	4.38602e-06	692.423	101.416	1.30838
0.00121441	6.16239e-06	300.321	512.06	-1.38046
0.00302358	6.25107e-05	56.0402	387.338	-0.699321
0.00030365	9.389e-07	526.717	179.483	1.38566
0.00122086	4.61577e-06	585.215	221.57	0.611854
1.0141e-05	2.37543e-08	311.388	24.2945	-1.51005
0.0176776	8.78992e-05	474.551	488.592	1.09696
7.07415e-05	1.97305e-07	820.219	27.5134	1.09434
0.244262	0.00163656	530.405	765.045	0.218661
0.127264	0.000790555	132.029	630.558	0.979918
1.72237e-05	3.10109e-08	160.727	90.2275	-1.26338
0.00111411	4.05762e-06	69.8206	39.8844	0.47977
0.00925433	4.21763e-05	641.676	348.127	0.366645
5.75838	0.0548098	558.95	636.406	1.40696
0.00264097	9.36035e-06	441.836	797.225	-1.45385
0.0101439	4.33535e-05	905.556	885.677	-0.656052
0.391992	0.00255849	884.078	860.913	-0.0490046
0.111732	0.000683068	507.088	297.023	-1.51458
0.00371955	1.57196e-05	638.253	116.634	0.411251
7.79837e-05	2.05094e-07	422.949	284.337	0.551781
0.281551	0.0102713	51.6991	293.052	-1.34521
0.000422656	1.62219e-06	97.2576	20.634	0.211706
0.120909	0.000800091	626.214	605.007	-0.0380695
0.00587655	3.53849e-05	176.492	779.275	0.285432
2.18741e-05	1.44e-07	167.712	76.182	-1.35937
0.000754099	2.69453e-06	731.491	86.1099	0.435633
0.000236054	6.5514e-07	370.056	270.302	-0.280146
2.5429e-06	3.53848e-09	215.859	87.3777	0.848248
0.000348104	1.59162e-06	326.475	841.969	-0.985908
0.0569165	0.000306242	660.327	753.81	-0.440756
0.0093637	4.02905e-05	813.515	847.737	-0.570581
0.204291	0.00177878	289.821	909.325	1.53591
0.000121728	3.69703e-07	370.461	57.1395	-0.32277
1.73924e-05	4.18575e-08	358.102	36.8895	-1.21492
0.00345485	1.31195e-05	822.821	524.583	0.62189
0.63932	0.00419608	940.441	468.492	-1.43578
0.000111338	3.8842e-07	204.112	229.924	-0.639082
0.00130398	4.37084e-06	356.803	656.621	1.0976
0.0123944	6.65743e-05	167.451	168.587	-0.976273
0.000382691	2.77145e-06	105.333	178.961	-0.323681
7.35469e-06	1.74502e-08	388.153	794.434	-0.259028
0.364343	0.00268707	172.086	531.298	0.685059
0.137769	0.000761683	648.956	416.599	1.55302
2.50745e-06	5.43276e-09	224.371	38.2803	0.48659
7.35477e-05	7.98603e-07	274.269	951.509	-0.424175
0.000327753	1.76694e-06	150.439	215.143	0.282994
4.7596e-05	1.25867e-07	463.191	779.543	-0.810216
0.000152621	7.91101e-07	222.616	639.43	0.0646605
0.00319237	1.0438e-05	287.106	938.193	0.212124
0.000281994	8.73935e-07	521.506	286.297	-0.316981
0.00416495	1.74129e-05	577.014	394.049	-0.97577
0.00153568	5.56818e-06	677.507	844.445	0.8775
0.00276719	1.1518e-05	413.138	145.154	1.40246
0.184637	0.0011626	716.69	536.961	0.0473925
0.0021991	7.79223e-06	295.953	757.429	-0.942892
0.0570172	0.000308512	796.597	720.73	-0.109716
3.65569e-07	7.00263e-10	164.787	33.565	-1.27862
0.0929281	0.000406042	67.7992	492.614	0.475754
6.19116e-06	3.54009e-08	334.677	840.999	0.330962
0.104003	0.000624073	482.791	385.281	-1.52827
0.0604948	0.000312892	848.856	959.995	1.20752
0.386814	0.00247814	781.045	400.051	0.403334
0.018121	9.1607e-05	547.602	828.425	-1.30202
0.000204	1.31567e-06	236.557	551.079	-0.369313
0.000549943	1.71102e-06	861.266	475.972	-0.518908
0.0137768	6.16162e-05	817.791	986.277	1.32319
9.07783e-05	2.3183e-07	511.009	527.005	-1.03858
0.0463462	0.000265221	446.144	183.764	1.54915
0.150016	0.000932223	625.419	877.599	-0.541051
0.00144503	4.22679e-06	440.207	956.207	-0.151969
1.86675	0.0162509	349.809	537.642	1.52824
0.00206259	7.46849e-06	653.932	369.529	0.126939
0.007709	3.19184e-05	780.709	875.357	0.227583
2.36738	0.0193673	669.739	494.132	0.518364
