Omega	mMChi	mMPsi	lam12	lam13	lam123
0.120007	100	120	0.00583224	0.354312	1.22736
0.120004	100	120	0.00583224	0.318881	1.2275
0.120002	100	120	0.00583224	0.286993	1.2276
0.120001	100	120	0.00583224	0.258294	1.22767
0.12	100	120	0.00583224	0.232464	1.22773
0.12	100	120	0.00583224	0.209218	1.22777
0.119999	100	120	0.00583224	0.188296	1.2278
0.119099	100	120	0.00524902	4.00524	0.682016
0.120991	100	120	0.00524902	3.60471	0.865677
0.120602	100	120	0.00524902	3.24424	0.988878
0.12086	100	120	0.00524902	2.91982	1.06233
0.1204	100	120	0.00524902	2.62784	1.11545
0.120563	100	120	0.00524902	2.36505	1.14764
0.120428	100	120	0.00524902	2.12855	1.17139
0.12095	100	120	0.00524902	1.91569	1.18364
0.120653	100	120	0.00524902	1.72412	1.19567
0.120487	100	120	0.00524902	1.55171	1.20506
0.120345	100	120	0.00524902	1.39654	1.21196
0.120251	100	120	0.00524902	1.25689	1.21711
0.120177	100	120	0.00524902	1.1312	1.22081
0.120124	100	120	0.00524902	1.01808	1.22345
0.12009	100	120	0.00524902	0.91627	1.2254
0.120067	100	120	0.00524902	0.824643	1.22687
0.12005	100	120	0.00524902	0.742178	1.22798
0.120038	100	120	0.00524902	0.667961	1.22884
0.120028	100	120	0.00524902	0.601164	1.22949
0.120021	100	120	0.00524902	0.541048	1.23
0.120017	100	120	0.00524902	0.486943	1.23041
0.120013	100	120	0.00524902	0.438249	1.23074
0.120009	100	120	0.00524902	0.394424	1.23099
0.120007	100	120	0.00524902	0.354982	1.23118
0.120004	100	120	0.00524902	0.319483	1.23131
0.120002	100	120	0.00524902	0.287535	1.23141
0.120001	100	120	0.00524902	0.258782	1.23149
0.12	100	120	0.00524902	0.232903	1.23155
0.12	100	120	0.00524902	0.209613	1.23159
0.119999	100	120	0.00524902	0.188652	1.23162
0.119109	100	120	0.00472412	4.01133	0.683678
0.120978	100	120	0.00472412	3.61019	0.868081
0.120591	100	120	0.00472412	3.24918	0.991511
0.120847	100	120	0.00472412	2.92426	1.06515
0.120392	100	120	0.00472412	2.63183	1.11834
0.120554	100	120	0.00472412	2.36865	1.15061
0.120346	100	120	0.00472412	2.13178	1.17493
0.120922	100	120	0.00472412	1.91861	1.18684
0.12064	100	120	0.00472412	1.72674	1.19879
0.120479	100	120	0.00472412	1.55407	1.20816
0.12034	100	120	0.00472412	1.39866	1.21505
0.120248	100	120	0.00472412	1.2588	1.2202
0.120174	100	120	0.00472412	1.13292	1.22389
